seqnames	start	end	width	strand	ratio	read.corrected
19	49300000	49304999	5000	*	1.04593523445827	1.04593523445827
19	49305000	49309999	5000	*	1.07537036977587	1.07537036977587
19	49310000	49314999	5000	*	1.13581747194691	1.13581747194691
19	49315000	49319999	5000	*	1.12092731239542	1.12092731239542
19	49320000	49324999	5000	*	1.05994598488151	1.05994598488151
19	49325000	49329999	5000	*	1.06236757320006	1.06236757320006
19	49330000	49334999	5000	*	1.07955011480118	1.07955011480118
19	49335000	49339999	5000	*	1.0832702490843	1.0832702490843
19	49340000	49344999	5000	*	1.12530035975185	1.12530035975185
19	49345000	49349999	5000	*	1.05652287567136	1.05652287567136
19	49350000	49354999	5000	*	1.09045021586033	1.09045021586033
19	49355000	49359999	5000	*	1.07096429202281	1.07096429202281
19	49360000	49364999	5000	*	1.16558535934313	1.16558535934313
19	49365000	49369999	5000	*	1.0924413281999	1.0924413281999
19	49370000	49374999	5000	*	1.03587772061504	1.03587772061504
19	49375000	49379999	5000	*	1.03084098950162	1.03084098950162
19	49380000	49384999	5000	*	1.11848371046706	1.11848371046706
19	49385000	49389999	5000	*	1.13754222600159	1.13754222600159
19	49390000	49394999	5000	*	1.05464636677574	1.05464636677574
19	49395000	49399999	5000	*	1.07786347677858	1.07786347677858
19	49400000	49404999	5000	*	1.10287816048106	1.10287816048106
19	49405000	49409999	5000	*	1.01024363226655	1.01024363226655
19	49410000	49414999	5000	*	1.07488051403378	1.07488051403378
19	49415000	49419999	5000	*	1.11047806484544	1.11047806484544
19	49420000	49424999	5000	*	1.11559620914123	1.11559620914123
19	49425000	49429999	5000	*	1.13627468591152	1.13627468591152
19	49430000	49434999	5000	*	1.12002001710277	1.12002001710277
19	49435000	49439999	5000	*	1.09572189708821	1.09572189708821
19	49440000	49444999	5000	*	1.15742263776862	1.15742263776862
19	49445000	49449999	5000	*	1.06947817710995	1.06947817710995
19	49450000	49454999	5000	*	1.08883679072925	1.08883679072925
19	49455000	49459999	5000	*	1.06083781762077	1.06083781762077
19	49460000	49464999	5000	*	1.05413259852984	1.05413259852984
19	49465000	49469999	5000	*	1.13093980304269	1.13093980304269
19	49470000	49474999	5000	*	1.02691131666102	1.02691131666102
19	49475000	49479999	5000	*	1.14396765613234	1.14396765613234
19	49480000	49484999	5000	*	1.14107738332503	1.14107738332503
19	49485000	49489999	5000	*	1.04976521115298	1.04976521115298
19	49490000	49494999	5000	*	1.0489382559051	1.0489382559051
19	49495000	49499999	5000	*	1.08522824664169	1.08522824664169
19	49500000	49504999	5000	*	1.08165156066015	1.08165156066015
19	49505000	49509999	5000	*	1.06413574923955	1.06413574923955
19	49510000	49514999	5000	*	1.09506575131919	1.09506575131919
19	49515000	49519999	5000	*	1.03876467079919	1.03876467079919
19	49520000	49524999	5000	*	1.04127499473343	1.04127499473343
19	49525000	49529999	5000	*	1.10330962595491	1.10330962595491
19	49530000	49534999	5000	*	0.999198820124257	0.999198820124257
19	49535000	49539999	5000	*	1.06702172068967	1.06702172068967
19	49540000	49544999	5000	*	1.06389974531487	1.06389974531487
19	49545000	49549999	5000	*	1.09034131943987	1.09034131943987
19	49550000	49554999	5000	*	1.06171107887925	1.06171107887925
19	49555000	49559999	5000	*	1.08265088739588	1.08265088739588
19	49560000	49564999	5000	*	1.09775289162128	1.09775289162128
19	49565000	49569999	5000	*	1.07999328768674	1.07999328768674
19	49570000	49574999	5000	*	1.07588825284659	1.07588825284659
19	49575000	49579999	5000	*	1.14377334038844	1.14377334038844
19	49580000	49584999	5000	*	1.11584381413859	1.11584381413859
19	49585000	49589999	5000	*	1.05820528775275	1.05820528775275
19	49590000	49594999	5000	*	1.09420003434241	1.09420003434241
19	49595000	49599999	5000	*	1.08007531811103	1.08007531811103
19	49600000	49604999	5000	*	1.07727250129099	1.07727250129099
19	49605000	49609999	5000	*	1.05392930716578	1.05392930716578
19	49610000	49614999	5000	*	1.09812299451659	1.09812299451659
19	49615000	49619999	5000	*	1.07987817462239	1.07987817462239
19	49620000	49624999	5000	*	1.1104507968709	1.1104507968709
